Min,Avg,Med,Max,Scale,StDev,n,University Name,English Speaking
8.6,9.03,9.01,9.55,10,0.34,5,APJ Abdul Kalam Technological University,N
70.74,72.52,72.52,74.3,100,2.52,2,APJ Abdul Kalam Technological University,N
3.74,4.24,4.26,4.73,5,0.5,3,Aalto University,N
8.04,8.42,8.42,8.8,10,0.54,2,Acharya Nagarjuna University,N
2.8,2.99,2.99,3.18,4,0.27,2,Addis Ababa University,N
71.7,85.11,91,92.63,100,11.64,3,Ain Shams University,N
3.38,3.88,3.9,4.2,4,0.27,8,Ajou University,N
3.68,3.9,3.96,4,4,0.13,5,Alexandria University,N
81.47,87.9,88.34,90.81,100,3.02,8,Alexandria University,N
8.9,9.21,9.21,9.52,10,0.44,2,Aligarh Muslim University,N
3.16,3.47,3.47,3.79,4,0.45,2,Allegheny College,Y
2.36,3.36,3.78,3.93,4,0.87,3,American University,N
3.51,3.57,3.54,3.67,4,0.09,3,American University in Cairo,N
3.51,3.82,3.95,4,4,0.21,7,American University of Beirut,N
76.75,87.56,88.1,98.14,100,5.47,18,American University of Beirut,N
2.49,3.15,3.26,3.69,4,0.61,3,American University of Sharjah,N
3.31,3.69,3.7,3.98,4,0.19,15,Amherst College,Y
13.4,17.02,17.14,20,20,1.94,14,Amirkabir University of Technology,N
6.28,8.15,8.34,9.33,10,1.01,14,Amity University,N
6.63,8.79,8.89,10,10,0.85,48,Amrita Vishwa Vidyapeetham University,N
7.57,8.29,8.28,8.96,10,0.47,6,Andhra University,N
71,74.75,74.75,78.5,100,5.3,2,Andhra University,N
3.04,3.48,3.66,3.75,4,0.39,3,Anhui University,N
6.94,8.58,8.57,9.98,10,0.71,78,Anna University,N
69,80.49,80,100,100,7.24,15,Anna University,N
3.51,3.74,3.85,3.85,4,0.2,3,Appalachian State University,Y
7.49,8.67,8.8,9.67,10,0.84,10,Aristotle University,N
2.97,3.8,3.84,4,4,0.28,25,Arizona State University,Y
58,59.6,59.6,61.2,100,2.26,2,Army Institute of Technology,N
3.18,3.54,3.54,3.91,4,0.31,4,Ashoka University,N
2.63,3.12,2.82,3.72,4,0.55,5,Ateneo de Manila University,N
7.38,8.47,8.43,9.5,10,0.68,13,Athens University of Economics and Business,N
3.61,3.84,3.87,4,4,0.17,4,Auburn University,Y
3.09,3.62,3.69,4,4,0.34,5,Austin College,Y
6.46,6.76,6.81,7,7,0.18,6,Australian National University,Y
83.54,86.77,86.77,90,100,4.57,2,Australian National University,Y
8.18,9,8.98,9.71,10,0.41,18,B. M. Sreenivasaiah College of Engineering,N
73.5,76.16,76.16,78.82,100,3.76,2,B. M. Sreenivasaiah College of Engineering,N
7.9,8.9,9.34,9.47,10,0.87,3,BML Munjal University,N
8.39,9.07,9.25,9.6,10,0.38,13,BMS College of Engineering,N
3.27,3.31,3.31,3.35,4,0.06,2,BRAC University,N
3.78,3.79,3.79,3.81,4,0.02,2,Bahcesehir University,N
3.73,3.86,3.84,4,4,0.14,3,Ball State University,N
8.17,8.94,8.98,9.68,10,0.76,3,Banaras Hindu University,N
78.78,82.58,83.3,85.66,100,3.5,3,Banasthali Vidyapith,N
3.19,3.59,3.61,3.93,4,0.24,6,Bandung Institute of Technology,N
70.1,75.28,75.91,79.2,100,3.98,4,Bangalore University,N
3.06,3.84,3.94,4,4,0.22,21,Bangladesh University of Engineering and Technology,N
3.14,3.72,3.81,4,4,0.26,12,Bard College,Y
3.16,3.56,3.54,4,4,0.36,4,Barnard College,Y
2.84,3.58,3.8,4,4,0.45,9,Baruch College,N
3.11,3.6,3.63,3.87,4,0.3,5,Baylor University,Y
3,3.65,3.7,4,4,0.2,222,Beihang University,N
83,88.48,88.5,92.6,100,2.5,46,Beihang University,N
3.45,3.64,3.69,3.84,4,0.16,5,Beijing Foreign Studies University,N
87.14,89.73,89.5,93.58,100,2.57,5,Beijing Foreign Studies University,N
82.59,87.91,87.33,100,100,5.51,8,Beijing Forestry University,N
3.2,3.41,3.41,3.61,4,0.29,2,Beijing Information Science and Technology University,N
80,85.09,85.09,90.17,100,7.19,2,Beijing Information Science and Technology University,N
3.18,3.62,3.64,3.97,4,0.2,23,Beijing Institute of Technology,N
75,88,88.23,100,100,3.78,55,Beijing Institute of Technology,N
3,3.67,3.73,3.92,4,0.23,17,Beijing Jiaotong University,N
3.89,4.05,4.05,4.21,5,0.23,2,Beijing Jiaotong University,N
81.3,88.71,90.6,95.7,100,4.27,17,Beijing Jiaotong University,N
3.5,3.68,3.71,3.92,4,0.18,5,Beijing Language and Culture University,N
86.4,89.47,89.9,92.05,100,2.5,5,Beijing Language and Culture University,N
3.55,3.77,3.82,3.92,4,0.16,7,Beijing Normal University,N
83,89.17,89.04,95.94,100,3.03,25,Beijing Normal University,N
3.32,3.48,3.48,3.65,4,0.23,2,Beijing Normal University-Hong Kong Baptist University United International College,N
86.6,88.5,89,89.9,100,1.71,3,Beijing Technology and Business University,N
3.1,3.41,3.4,3.74,4,0.32,3,Beijing University of Aeronautics and Astronautics,N
86,86.1,86.1,86.2,100,0.14,2,Beijing University of Aeronautics and Astronautics,N
3.56,3.68,3.7,3.78,4,0.11,3,Beijing University of Chemical Technology,N
85.07,88.56,88.56,92.06,100,4.94,2,Beijing University of Chemical Technology,N
85.39,88.51,89.08,90.58,100,2.13,5,Beijing University of Post and Telecommunication,N
2.78,3.55,3.58,4,4,0.24,55,Beijing University of Posts and Telecommunications,N
76,87.39,87.79,100,100,3.41,251,Beijing University of Posts and Telecommunications,N
2.79,3.6,3.69,3.95,4,0.32,32,Beijing University of Technology,N
3.55,3.77,3.77,3.99,4,0.31,2,Belmont University,N
85,91.81,93.25,95.75,100,4.8,4,"Ben-Gurion University, Beer-Sheva City, Israel",N
3.92,3.96,3.96,4,4,0.06,2,Benedict College,N
79.89,84.61,85.58,87.4,100,3.26,4,Bengal Engineering College,N
8.82,8.91,8.91,9.01,10,0.13,2,"Bharati Vidyapeeth's College of Engineering, New Delhi",N
71.53,79.47,79.47,87.4,100,11.22,2,"Bharati Vidyapeeth’s College of Engineering, New Delhi",N
7.65,8.13,8.3,8.6,10,0.42,5,"Biju Pattnaik University of Technology, Rourkela",N
74.02,78.31,78.31,82.6,100,6.07,2,"Biju Pattnaik University of Technology, Rourkela",N
3.08,3.66,3.73,3.99,4,0.23,45,Bilkent University,N
2.5,3.53,3.65,4,4,0.44,10,Binghamton University,Y
6.25,7.22,7.56,7.85,10,0.85,3,Birla Institue of Technology,N
5.87,8.27,8.32,9.88,10,0.73,133,Birla Institute of Technology and Science Pilani - Goa Campus,N
3.59,3.65,3.65,3.7,4,0.08,2,"Birla Institute of Technology and Science, Pilani",N
5.34,8.52,8.61,10,10,0.88,240,"Birla Institute of Technology and Science, Pilani",N
6.37,8.71,8.76,9.93,10,0.77,22,"Birla Institute of Technology and Science, Pilani-Dubai Campus",N
6.49,8.66,8.79,9.95,10,0.82,80,"Birla Institute of Technology and Science, Pilani-Hyderabad",N
6.21,7.9,8,9.22,10,0.73,45,"Birla Institute of Technology, Mesra, Ranchi",N
73.4,75.7,75.7,78,100,3.25,2,"Birla Institute of Technology, Mesra, Ranchi",N
3.47,3.76,3.79,4,4,0.23,4,Bloomsburgh University of Pennsylvania,Y
2.57,3.29,3.23,4,4,0.47,20,Bogazici University,N
3.9,3.94,3.94,3.98,4,0.06,2,Boise State University,Y
3.34,3.72,3.7,3.97,4,0.16,20,Boston College,Y
2.58,3.62,3.65,4,4,0.29,57,Boston University,Y
3.4,3.67,3.76,3.95,4,0.22,11,Bowdoin College,Y
3.42,3.55,3.55,3.69,4,0.19,2,Bradley University,Y
3.2,3.72,3.73,4,4,0.23,36,Brandeis University,Y
3.21,3.8,3.9,4,4,0.23,39,Brigham Young University,Y
3.05,3.8,3.84,4,4,0.2,52,Brown University,Y
3.1,3.72,3.76,3.94,4,0.23,15,Bryn Mawr College,Y
3.04,3.65,3.65,3.98,4,0.27,13,Bucknell University,Y
85.7,89.24,86.5,95.51,100,5.45,3,Cairo University,N
2.8,3.76,3.8,4.2,4,0.3,84,California Institute of Technology,Y
2.99,3.53,3.39,3.99,4,0.34,9,California Polytechnic State University,Y
3.11,3.69,3.81,3.95,4,0.32,6,"California State Polytechnic University, Pomona",Y
3.6,3.62,3.62,3.64,4,0.03,2,"California State University, Long Beach",Y
3.97,3.98,3.98,4,4,0.02,2,"California State University, Los Angeles",Y
3.26,3.43,3.31,3.73,4,0.26,3,"California State University, Northridge",Y
3.4,3.72,3.8,3.95,4,0.28,3,"California State University, Sacramento",Y
3.3,3.65,3.67,3.91,4,0.22,6,Calvin College,N
3.65,3.73,3.73,3.82,4,0.12,2,Canisius College,N
2.91,3.14,3.14,3.37,4,0.33,2,Capital Normal University,N
3.47,3.74,3.75,4,4,0.16,15,Carleton College,N
2.48,3.65,3.74,4.17,4,0.31,329,Carnegie Mellon University,Y
3.1,3.71,3.75,4,4,0.28,23,Case Western Reserve University,Y
85.24,88.2,88.22,91.6,100,2.49,6,Central China Normal University,N
3.42,3.67,3.69,3.87,4,0.19,6,Central South University,N
75,87.56,88,93.21,100,4.45,19,Central South University,N
3.58,3.78,3.85,3.91,4,0.18,3,Central University of Finance and Economics,N
82.6,89.21,89.88,94.97,100,3.03,15,Central University of Finance and Economics,N
3.04,3.63,3.62,4,4,0.38,5,Centre College,N
6.7,8.53,8.71,9.38,10,0.65,15,"Chaitanya Bharathi Institute of Technology, Hyderabad",N
2.87,3.21,3.21,3.55,4,0.48,2,Chang Gung University,N
3.68,3.75,3.75,3.82,4,0.1,2,Chapman University,N
7.03,8.62,9.05,9.74,10,1.08,5,Charotar University of Science and Technology,N
6.76,8.45,8.6,9.88,10,0.94,18,Chennai Mathematical Institute,N
3.3,3.67,3.73,3.95,4,0.19,13,China Agricultural University,N
3.35,3.65,3.65,3.85,4,0.18,9,China University of Geosciences,N
80,86.07,86.73,90.8,100,4.48,4,China University of Geosciences,N
3.35,3.61,3.6,3.88,4,0.27,3,China University of Mining and Technology,N
87.35,90.25,90.25,93.14,100,4.09,2,China University of Mining and Technology,N
3.17,3.44,3.44,3.7,4,0.37,2,China University of Petroleum,N
2.75,3.56,3.6,3.95,4,0.22,87,Chinese University of Hong Kong,N
2.71,3.63,3.69,3.87,4,0.25,22,"Chinese University of Hong Kong, Shenzhen",N
3.36,3.64,3.63,3.85,4,0.13,19,Chongqing University,N
87,88.47,88.85,89.2,100,1.02,4,Chongqing University,N
3.16,3.5,3.5,3.85,4,0.49,2,Chongqing University of Posts and Telecommunications,N
84.4,86.81,86.81,89.23,100,3.42,2,Chongqing University of Posts and Telecommunications,N
3.3,3.53,3.46,3.78,4,0.19,7,Christ University,N
3,3.5,3.5,3.99,4,0.7,2,Christopher Newport University,N
3.29,3.72,3.66,4,4,0.22,27,Chulalongkorn University,N
3.9,4.02,4.08,4.09,4,0.11,3,Chung Ang University,N
3.04,3.61,3.67,3.95,4,0.35,6,Chung-Ang University,N
2.6,3.76,3.85,4.13,4,0.34,37,City University of Hong Kong,N
3.7,3.91,3.95,4,4,0.12,5,City University of New York,N
81.3,84.4,84.4,87.5,100,4.38,2,Civil Aviation University of China,N
3.03,3.65,3.8,4,4,0.42,5,Clarkson University,N
3.66,3.94,3.99,4,4,0.12,8,Clemson University,Y
3.76,3.83,3.83,3.89,4,0.09,2,Cleveland State University,Y
71.9,76.5,76.5,81.1,100,6.51,2,"Cluster Innovation Centre, University of Delhi",N
3.91,3.96,3.96,4,4,0.06,2,Coastal Carolina University,Y
8.1,8.57,8.57,9.05,10,0.67,2,Cochin University of Science and Technology,N
70.77,76.04,75.78,82.6,100,4.27,7,Cochin University of Science and Technology,N
3.97,3.99,3.99,4,4,0.02,2,Coe College,N
8.05,8.86,8.93,9.54,10,0.66,4,Coimbatore Institute of Technology,N
3.38,3.86,3.87,4.09,4,0.19,11,Colby College,Y
3.02,3.63,3.6,4.01,4,0.28,12,Colgate University,Y
3.87,3.94,3.97,3.98,4,0.06,3,College of Charleston,Y
7.12,8.74,8.73,9.88,10,0.71,23,College of Engineering Pune,N
7.39,8.39,8.5,9.29,10,0.95,3,College of Engineering Trivandrum,N
74.39,76.93,78,78.4,100,2.21,3,College of Engineering Trivandrum,N
9.15,9.47,9.52,9.71,10,0.21,5,"College of Engineering, Guindy",N
2.91,3.76,3.8,3.97,4,0.24,21,College of William and Mary,N
3.37,3.63,3.6,3.96,4,0.29,4,College of the Holy Cross,Y
3,3.56,3.79,3.9,4,0.49,3,Colorado College,Y
3.75,3.88,3.88,4,4,0.18,2,Colorado Mesa University,Y
3.78,3.83,3.83,3.89,4,0.08,2,Colorado School of Mines,Y
3.32,3.8,3.86,3.98,4,0.19,10,Colorado State University,Y
3.01,3.73,3.75,4.22,4,0.26,79,Columbia University,Y
3.54,3.65,3.67,3.73,4,0.1,3,Communication University of China,N
86,91,87,100,100,7.81,3,Communication University of China,N
3.06,3.53,3.38,4.15,4,0.56,3,"Concordia University, Montreal",N
3.91,3.96,3.96,4,4,0.04,3,Connecticut College,Y
3.5,3.67,3.63,3.87,4,0.19,3,Cooper Union,Y
3.9,3.94,3.94,3.99,4,0.07,2,Cornell College,Y
2.76,3.76,3.8,4.3,4,0.3,147,Cornell University,Y
85.9,88.47,88.47,91.04,100,3.63,2,Costa Rica Institute of Technology,N
3.86,3.93,3.93,4,4,0.1,2,Creighton University,N
8.33,8.77,8.9,9.09,10,0.4,3,Cummins College of Engineering,N
61,65.55,65.55,70.1,100,6.43,2,Cummins College of Engineering,N
7.6,8.89,8.87,9.85,10,0.53,38,D J Sanghvi College of Engineering,N
61.48,66.51,66.44,74.4,100,4.71,7,D J Sanghvi College of Engineering,N
77.81,3338.91,3338.91,6600,100,4611.88,2,DAV Institute of Engineering and Technology,N
3.87,4.07,4.03,4.3,4,0.22,3,Dalhousie University,N
3,3.63,3.7,3.95,4,0.25,32,Dalian University of Technology,N
75.7,88.02,89.11,93.3,100,3.69,32,Dalian University of Technology,N
71,71.44,71.44,71.89,100,0.63,2,Damascus University,N
2.94,3.69,3.72,3.99,4,0.23,36,Dartmouth College,Y
3.54,3.85,3.94,4,4,0.2,5,Davidson College,Y
8.13,8.89,8.73,9.69,10,0.59,8,Dayananda Sagar College of Engineering,N
3.98,3.99,3.99,4,4,0.02,2,DePaul University,Y
3.57,3.75,3.73,3.98,4,0.15,5,DePauw University,N
8.08,8.43,8.46,8.7,10,0.32,4,Delft University of Technology,N
63,73.45,73.71,82.3,100,5.16,9,Delhi College of Engineering,N
1,2.46,2.46,3.93,4,2.07,2,Delhi Technological University,N
7.35,8.56,8.72,9.6,10,0.61,57,Delhi Technological University,N
60.33,76.3,76.46,85.5,100,5.48,46,Delhi Technological University,N
60,72.28,73.59,81.95,100,9.12,4,Delhi University,N
3.2,3.71,3.67,3.96,4,0.23,11,Denison University,N
67,76.54,76.21,83.86,100,5.74,7,"Devi Ahilya University, Indore",N
8.36,8.49,8.49,8.62,10,0.18,2,Devi Ahilya Vishwavidyalaya,N
2.2,2.58,2.6,3.07,4,0.36,5,Dhirubhai Ambani Institute of Information and Communication Technology,N
6.99,8.53,8.6,9.76,10,0.7,47,Dhirubhai Ambani Institute of Information and Communication Technology,N
3.2,3.65,3.77,3.98,4,0.4,3,Dickinson College,N
3,3.84,3.93,4.3,5,0.48,6,Dong Hua University,N
80,82.75,82.75,85.5,100,3.89,2,Dong Hua University,N
3.66,3.67,3.67,3.68,4,0.01,2,Dongbei University of Finance and Economics,N
90.82,91.44,91.17,92.33,100,0.79,3,Dongbei University of Finance and Economics,N
3.93,3.98,3.98,4.03,4,0.07,2,Dongguk University,N
3.81,3.9,3.95,3.95,4,0.08,3,Drake University,N
3.7,3.72,3.72,3.74,4,0.03,2,Drew University,Y
3.22,3.52,3.51,3.96,4,0.22,12,Drexel University,Y
3.61,3.83,3.86,3.94,4,0.11,11,Duke Kunshan University,N
2.6,3.72,3.82,4,4,0.27,71,Duke University,Y
3.54,3.66,3.59,3.99,4,0.19,5,Duquesne University,Y
8.75,9.42,9.55,9.92,10,0.38,10,Dwarkadas J. Sanghvi College of Engineering,N
5.2,5.53,5.54,5.85,10,0.27,4,ETH Zurich,N
2.9,3.7,3.8,4.3,4,0.41,14,"EWHA Womens University, Seoul, Korea",N
2.75,3.53,3.62,3.86,4,0.26,31,East China Normal University,N
3.34,3.58,3.54,4,4,0.22,12,East China University of Science and Technology,N
76.4,84.72,87,90.76,100,7.45,3,East China University of Science and Technology,N
3.83,4,3.99,4.23,4,0.13,15,Ecole Centrale Paris,N
4.9,4.93,4.93,4.95,6,0.04,2,Ecole Polytechnique Federale de Lausanne,N
5.34,5.69,5.55,6.64,10,0.43,8,Ecole Polytechnique Federale de Lausanne,N
3.59,3.81,3.79,4.09,4,0.14,15,"Ecole Polytechnique, Palaiseau",N
3.66,3.79,3.84,3.88,4,0.12,3,"Ecole Polytechnique, Paris",N
12,13.15,13.15,14.3,20,1.63,2,Ecole normale superieure de Paris,N
3.5,3.7,3.7,3.9,4,0.28,2,Embry-Riddle Aeronautical University,N
3.21,3.82,3.88,4,4,0.17,58,Emory University,Y
8.22,8.72,8.72,9.22,10,0.71,2,Escuela Superior Politecnica del Litoral,N
14,16.14,16,18,20,1.86,7,"Faculdade de Ciencias e Tecnologia da Universidade Nova de Lisboa, Portugal",N
15,17.26,18,19,20,1.69,5,Faculdade de Engenharia da Universidade do Porto,N
2.7,3.6,3.6,4.49,5,1.27,2,Federal University of Minas Gerais,N
14.4,15.51,15.51,16.62,20,1.57,2,Ferdowsi University of Mashhad,N
3.27,3.65,3.67,3.99,4,0.37,4,Florida Atlantic University,Y
3.44,3.78,3.77,4,4,0.21,6,Florida International University,Y
3.17,3.7,3.9,4,4,0.32,11,Florida State University,Y
3.02,3.68,3.8,3.97,4,0.3,10,Franklin W. Olin College of Engineering,Y
3.44,3.73,3.78,3.94,4,0.21,4,Franklin and Marshall College,Y
3.1,3.57,3.5,3.98,4,0.35,7,Fu Jen Catholic University,N
64,71.7,73.94,77.16,100,6.86,3,Fu Jen Catholic University,N
2.56,3.52,3.54,4,4,0.22,260,Fudan University,N
3.07,3.56,3.6,3.96,4,0.37,4,Furman University,N
69.12,75.12,75.17,81,100,5.39,4,G.Narayanamma Institute of Technology and Science,N
3.82,3.87,3.87,3.92,4,0.07,2,Gadjah Mada University,N
7.8,8.68,8.78,9.35,10,0.75,4,Gandhi Institute of Technology and Management,N
2.82,3.56,3.59,4,4,0.37,10,George Mason University,Y
3.13,3.71,3.75,3.97,4,0.25,11,George Washington University,Y
3.25,3.7,3.75,3.92,4,0.2,8,Georgetown University,Y
2.8,3.74,3.85,4,4,0.29,144,Georgia Institute of Technology,Y
3.86,4.03,4.03,4.2,4,0.24,2,Georgia State University,Y
2.54,2.9,2.91,3.25,4,0.36,3,Ghulam Ishaq Khan Institute of Engineering Sciences and Technology,N
7.6,8.67,8.88,9.54,10,0.73,6,Gitam University,N
3.14,3.26,3.21,3.42,4,0.15,3,Gonzaga University,N
3.88,3.94,3.94,4,4,0.08,2,Gordon College,N
3.91,3.97,4,4,4,0.05,3,Goshen College,N
7.23,7.75,7.71,8.3,10,0.54,3,"Government College of Engineering, Pune",N
8.03,8.64,8.74,9.06,10,0.45,4,Government College of Technology Coimbatore,N
3.85,3.91,3.91,3.96,4,0.08,2,Grand Valley State University,N
73.24,75.12,75.12,77,100,2.66,2,Graphic Era University,N
3.2,3.64,3.69,3.99,4,0.27,10,Grinnell College,N
2.64,3.65,3.81,3.99,4,0.46,11,Grove City College,N
3.48,3.69,3.63,4,4,0.23,4,Guangdong University of Foreign Studies,N
2.83,3.15,3.15,3.47,4,0.45,2,Guangdong University of Technology,N
3.48,3.76,3.76,4.05,5,0.4,2,Guangdong University of Technology,N
7.1,8.65,8.84,10,10,0.75,16,Gujarat Technological University,N
68.21,73.87,73.39,83.5,100,6.14,5,"Gujarat University, Ahmedabad",N
9.16,9.17,9.17,9.18,10,0.01,2,Guru Gobind Singh Indraprastha University,N
70.05,77.02,75.3,84.38,100,4.63,22,Guru Gobind Singh Indraprastha University,N
6.8,8.29,8.35,9.47,10,0.81,8,"Guru Gobind Singh Indraprastha University, Delhi",N
68.32,76.54,76.41,83.4,100,4.25,26,"Guru Gobind Singh Indraprastha University, Delhi",N
9.05,9.53,9.53,10,10,0.67,2,"Guru Nanak Dev University, Amritsar",N
3.65,3.75,3.72,3.89,4,0.12,3,Hainan University,N
3.6,3.76,3.76,3.92,4,0.23,2,Hamilton College,Y
3.41,3.77,3.77,4.12,4,0.5,2,Handong Global University,N
4.5,4.62,4.62,4.73,5,0.16,2,Hangzhou Dianzi University,N
3.01,3.38,3.4,3.81,4,0.3,5,Hanoi University of Science and Technology,N
7.96,8.24,8.24,8.53,10,0.4,2,Hanoi University of Science and Technology,N
78.45,82.78,82.78,87.1,100,6.12,2,Hansraj College University of Delhi,N
2.95,3.7,3.75,4.44,4,0.4,12,Hanyang University,N
3.3,3.37,3.37,3.43,4,0.09,2,Harbin Engineering University,N
85.6,89.35,90.07,93.14,100,2.95,6,Harbin Engineering University,N
3,3.49,3.48,3.85,4,0.23,28,Harbin Institute of Technology,N
73,86.71,87.44,94.45,100,4.26,86,Harbin Institute of Technology,N
3.25,3.55,3.55,3.86,4,0.43,2,Harding University,N
3.1,3.76,3.8,4,4,0.18,29,Harvard College,Y
3.29,3.79,3.8,4.83,4,0.24,45,Harvard University,Y
2.8,3.56,3.64,3.99,4,0.34,35,Harvey Mudd College,Y
3.23,3.75,3.83,3.95,4,0.22,10,Haverford College,Y
84.6,92.92,94.07,98.65,100,4.02,10,Hebrew University of Jerusalem,N
2.82,3.51,3.6,3.83,4,0.35,7,Hefei University of Technology,N
84.3,87.48,86,91.38,100,3.04,5,Hefei University of Technology,N
3.03,3.45,3.45,3.87,4,0.59,2,Hendrix College,N
3.72,3.8,3.8,3.88,4,0.11,2,Herbert H. Lehman College,N
